Type,Days for shipment (scheduled),Benefit per order,Sales per customer,Late_delivery_risk,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Shipping Pressure Index,Mode Risk Flag,Order Complexity Score,Regional Congestion
DEBIT,4,159.69,472.45,1,Cardio Equipment,Brownsville,EE. UU.,Consumer,TX,Footwear,Pacific Asia,Mumbai,India,27.5,0.06,99.99,0.34,5,499.95,472.45,159.69,South Asia,Maharashtra,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,1.25,1,529.947,0.5626697710516104
DEBIT,4,48.71,167.96,0,Shop By Sport,Littleton,EE. UU.,Consumer,CO,Golf,LATAM,San Pedro Sula,Honduras,31.99,0.16,39.99,0.29,5,199.95,167.96,48.71,Central America,Cortés,ON_HOLD,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,1.25,1,231.942,0.5475459581525
DEBIT,4,87.36,181.99,0,Water Sports,Littleton,EE. UU.,Consumer,CO,Fan Shop,LATAM,San Pedro Sula,Honduras,18.0,0.09,199.99,0.48,1,199.99,181.99,87.36,Central America,Cortés,ON_HOLD,Pelican Sunstream 100 Kayak,199.99,Standard Class,0.25,1,217.98910000000004,0.5475459581525
DEBIT,4,-41.89,175.99,1,Water Sports,Littleton,EE. UU.,Consumer,CO,Fan Shop,USCA,New York City,Estados Unidos,24.0,0.12,199.99,-0.24,1,199.99,175.99,-41.89,East of USA,Nueva York,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Standard Class,0.25,1,223.98880000000003,0.5566160520607375
DEBIT,4,10.0,40.0,1,Women's Apparel,Littleton,EE. UU.,Consumer,CO,Golf,USCA,New York City,Estados Unidos,10.0,0.2,50.0,0.25,1,50.0,40.0,10.0,East of USA,Nueva York,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,0.25,1,60.0,0.5566160520607375
DEBIT,4,105.63,290.98,1,Camping & Hiking,Littleton,EE. UU.,Consumer,CO,Fan Shop,USCA,New York City,Estados Unidos,9.0,0.03,299.98,0.36,1,299.98,290.98,105.63,East of USA,Nueva York,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,0.25,1,308.97940000000006,0.5566160520607375
DEBIT,4,64.1,142.44,0,Indoor/Outdoor Games,Littleton,EE. UU.,Consumer,CO,Fan Shop,LATAM,San Pedro Sula,Honduras,7.5,0.05,49.98,0.45,3,149.94,142.44,64.1,Central America,Cortés,ON_HOLD,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,0.75,1,157.437,0.5475459581525
DEBIT,4,22.67,83.97,0,Indoor/Outdoor Games,Littleton,EE. UU.,Consumer,CO,Fan Shop,LATAM,San Pedro Sula,Honduras,15.99,0.16,49.98,0.27,2,99.96,83.97,22.67,Central America,Cortés,ON_HOLD,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,0.5,1,115.95359999999998,0.5475459581525
DEBIT,4,3.52,351.98,0,Fishing,Littleton,EE. UU.,Consumer,CO,Fan Shop,Europe,Rome,Italia,48.0,0.12,399.98,0.01,1,399.98,351.98,3.52,Southern Europe,Lacio,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,0.25,1,447.97760000000005,0.5438447672569187
DEBIT,4,40.34,98.38,0,Cleats,Littleton,EE. UU.,Consumer,CO,Apparel,LATAM,San Pedro Sula,Honduras,21.6,0.18,59.99,0.41,2,119.98,98.38,40.34,Central America,Cortés,ON_HOLD,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0.5,1,141.5764,0.5475459581525
